,alias,annotation.DB_Object_Name,annotation.GO BIOLOGICAL_PROCESS,annotation.GO CELLULAR_COMPONENT,annotation.GO MOLECULAR_FUNCTION,label,kegg,uniprot,sgd,entrez
YKR097W,"JPM2, PCK1, PPC1, S000001805, phosphoenolpyruvate carboxylkinase",phosphoenolpyruvate carboxylkinase,gluconeogenesis,cytosol,phosphoenolpyruvate carboxykinase (ATP) activity,PCKA,sce:YKR097W,PCKA_YEAST,S000001805,853972
YKR099W,"BAS1, S000001807, transcription factor",transcription factor,"histidine biosynthetic process, purine base biosynthetic process, transcription from RNA polymerase II promoter",nucleus,RNA polymerase II transcription factor activity,BAS1,sce:YKR099W,BAS1_YEAST,S000001807,853974
YLL019C,"KNS1, L124, S000003942",,protein amino acid phosphorylation,cellular_component,"protein serine/threonine kinase activity, protein-tyrosine kinase activity",KNS1,sce:YLL019C,KNS1_YEAST,S000003942,850641
YLL021W,"FUS6, PEA1, S000003944, SPA2",,"Rho protein signal transduction, actin filament organization, bipolar bud site selection, establishment of cell polarity (sensu the Fungi research community), pseudohyphal growth, regulation of initiation of mating projection growth, regulation of termination of mating projection growth","bud neck, bud tip, incipient bud site, mating projection tip, polarisome",cytoskeletal regulatory protein binding,SPA2,sce:YLL021W,SPA2_YEAST,S000003944,850639
YLL028W,"S000003951, TPO1",,polyamine transport,"bud, plasma membrane, vacuolar membrane","spermidine transporter activity, spermine transporter activity",TPO1,sce:YLL028W,TPO1_YEAST,S000003951,850631
YLR044C,"PDC1, S000004034, pyruvate decarboxylase",pyruvate decarboxylase,"glucose catabolic process to ethanol, pyruvate metabolic process","cytoplasm, nucleus",pyruvate decarboxylase activity,PDC1,sce:YLR044C,PDC1_YEAST,S000004034,850733
YLR075W,"GRC5, QSR1, RPL10, S000004065, ribosomal protein L10",ribosomal protein L10,ribosomal large subunit assembly and maintenance,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL10,sce:YLR075W,RL10_YEAST,S000004065,850764
YLR081W,"GAL2, S000004071, galactose permease",galactose permease,"galactose metabolic process, galactose transport",plasma membrane,"galactose transporter activity, glucose transporter activity",GAL2,sce:YLR081W,GAL2_YEAST,S000004071,850770
YLR109W,"cTPxIII, AHP1, S000004099, alkyl hydroperoxide reductase","alkyl hydroperoxide reductase, cTPxIII","regulation of cell redox homeostasis, response to metal ion, response to oxidative stress",cytoplasm,thioredoxin peroxidase activity,AHP1,sce:YLR109W,AHP1_YEAST,S000004099,850799
YLR116W,"BBP, MSL5, S000004106",BBP,"nuclear mRNA splicing, via spliceosome",commitment complex,RNA binding,BBP,sce:YLR116W,BBP_YEAST,S000004106,850807
YLR117C,"CLF1, NTC77, S000004107, SYF3, pre-mRNA splicing factor",pre-mRNA splicing factor,"DNA replication, cell cycle, cis assembly of pre-catalytic spliceosome, nuclear mRNA splicing, via spliceosome",chromatin,protein binding,CLF1,sce:YLR117C,CLF1_YEAST,S000004107,850808
YLR134W,"PDC5, S000004124, pyruvate decarboxylase",pyruvate decarboxylase,"glucose catabolic process to ethanol, pyruvate metabolic process","cytoplasm, nucleus",pyruvate decarboxylase activity,PDC5,sce:YLR134W,PDC5_YEAST,S000004124,850825
YLR153C,"ACS2, S000004143, acetyl CoA synthetase",acetyl CoA synthetase,"acetyl-CoA biosynthetic process, histone acetylation","cytosol, nucleus",acetate-CoA ligase activity,ACS2,sce:YLR153C,ACS2_YEAST,S000004143,850846
YLR175W,"CBF5, S000004165, pseudouridine synthase",pseudouridine synthase,"35S primary transcript processing, rRNA pseudouridine synthesis","box H/ACA snoRNP complex, nucleolus",pseudouridylate synthase activity,CBF5,sce:YLR175W,CBF5_YEAST,S000004165,850872
YLR191W,"PAS20, PEX13, S000004181",,"peroxisome organization and biogenesis, protein import into peroxisome matrix, protein targeting to peroxisome",peroxisomal membrane,protein binding,PEX13,sce:YLR191W,PEX13_YEAST,S000004181,850888
YLR197W,"NOP56, S000004187, SIK1, U3 snoRNP protein",U3 snoRNP protein,"35S primary transcript processing, processing of 20S pre-rRNA, rRNA modification","box C/D snoRNP complex, nucleolus, nucleus, small nucleolar ribonucleoprotein complex",molecular_function,NOP56,sce:YLR197W,NOP56_YEAST,S000004187,850894
YLR214W," ferric reductase, FRE1, S000004204, cupric reductase","cupric reductase, ferric reductase","copper ion import, iron ion transport",plasma membrane,ferric-chelate reductase activity,FRE1,sce:YLR214W,FRE1_YEAST,S000004204,850911
YLR229C,"CDC42, S000004219",,"Rho protein signal transduction, budding cell apical bud growth, budding cell isotropic bud growth, establishment of cell polarity (sensu the Fungi research community), exocytosis, invasive growth (sensu the Saccharomyces research community), pheromone-dependent signal transduction during conjugation with cellular fusion, pseudohyphal growth, regulation of exit from mitosis, regulation of initiation of mating projection growth","bud neck, bud tip, mating projection tip, plasma membrane, soluble fraction","GTPase activity, signal transducer activity",CDC42,sce:YLR229C,CDC42_YEAST,S000004219,850930
YLR249W,"Translation elongation factor 3 (EF-3), EF-3, S000004239, TEF3, YEF3","EF-3, Translation elongation factor 3 (EF-3)",translational elongation,ribosome,translation elongation factor activity,EF3A,sce:YLR249W,EF3A_YEAST,S000004239,850951
YLR256W,"CYP1, HAP1, S000004246, zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type",zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type,"aerobic respiration, positive regulation of transcription from RNA polymerase II promoter",nucleus,specific RNA polymerase II transcription factor activity,HAP1,sce:YLR256W,HAP1_YEAST,S000004246,850958
YLR258W,"GSY2, S000004248, glycogen synthase (UDP-glucose-starch glucosyltransferase)",glycogen synthase (UDP-glucose-starch glucosyltransferase),glycogen biosynthetic process,cytoplasm,glycogen (starch) synthase activity,GYS2,sce:YLR258W,GYS2_YEAST,S000004248,850962
YLR264W,"RPS28B, RPS33B, S000004254, ribosomal protein S28B (S33B) (YS27)",ribosomal protein S28B (S33B) (YS27),telomere maintenance,cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS28B,sce:YLR264W,RS28B_YEAST,S000004254,850969
YLR284C,"ECI1, S000004274, d2-Enoyl-CoA Isomerase, d3","d3,d2-Enoyl-CoA Isomerase",fatty acid beta-oxidation,peroxisome,dodecenoyl-CoA delta-isomerase activity,ECI1,sce:YLR284C,ECI1_YEAST,S000004274,850990
YLR293C,"CNR1, CST17, GSP1, GTP-binding protein, S000004284",GTP-binding protein,"nuclear organization and biogenesis, nucleocytoplasmic transport, rRNA processing","cytoplasm, nucleus",GTPase activity,GSP1,sce:YLR293C,GSP1_YEAST,S000004284,851000
YLR310C,"CDC25, CDC25', CTN1, S000004301",,"Ras protein signal transduction, regulation of progression through cell cycle, replicative cell aging, traversing start control point of mitotic cell cycle","cytoplasm, plasma membrane",Ras guanyl-nucleotide exchange factor activity,CDC25,sce:YLR310C,CDC25_YEAST,S000004301,851019
YLR319C,"AIP3, BUD6, S000004311",,"Rho protein signal transduction, actin filament organization, bipolar bud site selection, bud site selection, cytokinesis, establishment of cell polarity (sensu the Fungi research community), response to osmotic stress","actin cap, polarisome",cytoskeletal regulatory protein binding,BUD6,sce:YLR319C,BUD6_YEAST,S000004311,851029
YLR321C,"RSC, S000004313, SFH1, chromatin remodeling complex member","chromatin remodeling complex member, RSC","chromatin remodeling, double-strand break repair",RSC complex,protein binding,SFH1,sce:YLR321C,SFH1_YEAST,S000004313,851032
YLR340W,"RPL10E, RPP0, S000004332, ribosomal protein P0 (A0) (L10E)",ribosomal protein P0 (A0) (L10E),"ribosomal large subunit assembly and maintenance, translational elongation",cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RLA0,sce:YLR340W,RLA0_YEAST,S000004332,851052
YLR345W,S000004337,,"fructose 2,6-bisphosphate metabolic process, regulation of glycolysis",cytoplasm,6-phosphofructo-2-kinase activity,YL345,sce:YLR345W,YL345_YEAST,S000004337,851059
YLR362W,"S000004354, STE11",,"invasive growth (sensu the Saccharomyces research community), pheromone-dependent signal transduction during conjugation with cellular fusion, protein amino acid phosphorylation, pseudohyphal growth",cytoplasm,"MAP kinase kinase kinase activity, SAM domain binding",STE11,sce:YLR362W,STE11_YEAST,S000004354,851076
YLR377C,"fructose-1, 6-bisphosphatase, ACN8, FBP1, FBPase-2, S000004369","FBPase-2, fructose-1,6-bisphosphatase",gluconeogenesis,cytosol,fructose-bisphosphatase activity,F16P,sce:YLR377C,F16P_YEAST,S000004369,851092
YLR432W,"IMD3, S000004424",,GTP biosynthetic process,cytoplasm,IMP dehydrogenase activity,IMDH3,sce:YLR432W,IMDH3_YEAST,S000004424,851152
YLR452C,"GTPase activating protein (GAP), S000004444, SST2",GTPase activating protein (GAP),"adaptation to pheromone during conjugation with cellular fusion, signal transduction",plasma membrane,GTPase activator activity,SST2,sce:YLR452C,SST2_YEAST,S000004444,851173
YML007W,"PAR1, S000004466, SNQ3, YAP1, jun-like transcription factor",jun-like transcription factor,"response to arsenic, response to drug, response to heat, response to singlet oxygen, transcription","cytoplasm, nucleus",transcription factor activity,YAP1,sce:YML007W,YAP1_YEAST,S000004466,855005
YML024W,"RP51A, RPL51A, RPS17A, S000004486, ribosomal protein S17A (rp51A)",ribosomal protein S17A (rp51A),"ribosomal small subunit assembly and maintenance, telomere maintenance",cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS17A,sce:YML024W,RS17A_YEAST,S000004486,854984
YML032C,"RAD52, S000004494",,"DNA recombinase assembly, double-strand break repair via break-induced replication, double-strand break repair via single-strand annealing, double-strand break repair via synthesis-dependent strand annealing, meiotic DNA recombinase assembly, postreplication repair, telomere maintenance via recombination","nuclear chromosome, nucleus","DNA strand annealing activity, recombinase activity",RAD52,sce:YML032C,RAD52_YEAST,S000004494,854976
YML051W,"GAL80, S000004515, transcriptional regulator",transcriptional regulator,"galactose metabolic process, positive regulation of transcription by galactose","cytoplasm, nucleus",specific transcriptional repressor activity,GAL80,sce:YML051W,GAL80_YEAST,S000004515,854954
YML054C,"cytochrome b2, CYB2, L-lactate cytochrome c oxidoreductase, S000004518","L-lactate cytochrome c oxidoreductase, cytochrome b2",electron transport,"mitochondrial intermembrane space, mitochondrion",L-lactate dehydrogenase (cytochrome) activity,CYB2,sce:YML054C,CYB2_YEAST,S000004518,854950
YML064C,"GTP-binding protein, S000004529, TEM1",GTP-binding protein,regulation of exit from mitosis,spindle pole body,"GTPase activity, protein binding",TEM1,sce:YML064C,TEM1_YEAST,S000004529,854938
YML074C,"FPR3, NPI46, S000004539",,meiotic recombination checkpoint,nucleolus,peptidyl-prolyl cis-trans isomerase activity,FKBP3,sce:YML074C,FKBP3_YEAST,S000004539,854901
YML114C," TafII65, S000004582, TAF65, TAF8, TFIID subunit","TFIID subunit, TafII65",transcription from RNA polymerase II promoter,"nucleus, transcription factor TFIID complex",RNA polymerase II transcription factor activity,TAF8,sce:YML114C,TAF8_YEAST,S000004582,854926
YML123C,"PHO84, S000004592, inorganic phosphate transporter",inorganic phosphate transporter,"manganese ion transport, phosphate transport",integral to plasma membrane,"inorganic phosphate transporter activity, manganese ion transporter activity",PHO84,sce:YML123C,PHO84_YEAST,S000004592,854916
YMR005W," TafII48, MPT1, S000004607, TAF4, TAF48, TFIID subunit, TSG2","TFIID subunit, TafII48",transcription from RNA polymerase II promoter,transcription factor TFIID complex,RNA polymerase II transcription factor activity,TAF4,sce:YMR005W,TAF4_YEAST,S000004607,855017
YMR021C,"CUA1, MAC1, S000004623, metal-binding transcriptional activator",metal-binding transcriptional activator,"cadmium ion homeostasis, positive regulation of transcription from RNA polymerase II promoter, regulation of protein catabolic process",nucleus,specific RNA polymerase II transcription factor activity,MAC1,sce:YMR021C,MAC1_YEAST,S000004623,855035
YMR043W,"FUN80, MCM1, S000004646, transcription factor",transcription factor,"DNA replication initiation, regulation of transcription from RNA polymerase II promoter","nuclear chromatin, nucleus","DNA bending activity, DNA binding, DNA replication origin binding, RNA polymerase II transcription factor activity",MCM1,sce:YMR043W,MCM1_YEAST,S000004646,855060
YMR044W,"IOC4, S000004647",,chromatin remodeling,ISW1 complex,protein binding,IOC4,sce:YMR044W,IOC4_YEAST,S000004647,855061
YMR058W,"FET3, S000004662, multicopper oxidase",multicopper oxidase,"high affinity iron ion transport, response to copper ion",plasma membrane,"ferroxidase activity, iron ion transporter activity",FET3,sce:YMR058W,FET3_YEAST,S000004662,855080
YMR108W,"ILV2, S000004714, SMR1, THI1, acetolactate synthase",acetolactate synthase,branched chain family amino acid biosynthetic process,"acetolactate synthase complex, mitochondrion","FAD binding, acetolactate synthase activity",ILVB,sce:YMR108W,ILVB_YEAST,S000004714,855135
YMR117C,"S000004723, SPC24, spindle pole component",spindle pole component,"chromosome segregation, microtubule nucleation","Ndc80 complex, condensed nuclear chromosome kinetochore, condensed nuclear chromosome, pericentric region",structural constituent of cytoskeleton,SPC24,sce:YMR117C,SPC24_YEAST,S000004723,855144
YMR138W,"CIN4, GTP-binding protein, GTP1, S000004746, UGX1",GTP-binding protein,microtubule-based process,cytoplasm,GTP binding,CIN4,sce:YMR138W,CIN4_YEAST,S000004746,855169
YMR146C,"S000004754, TIF34, translation initiation factor eIF3 subunit",translation initiation factor eIF3 subunit,translational initiation,"eukaryotic translation initiation factor 3 complex, multi-eIF complex",translation initiation factor activity,EIF3I,sce:YMR146C,EIF3I_YEAST,S000004754,855177
YMR183C,"S000004795, SSO2, t-SNARE",t-SNARE,"Golgi to plasma membrane transport, vesicle fusion","cytoplasm, endoplasmic reticulum, integral to plasma membrane",t-SNARE activity,SSO2,sce:YMR183C,SSO2_YEAST,S000004795,855221
YMR186W,"HSC82, HSP90, S000004798, chaperonin",chaperonin,"'de novo' protein folding, proteasome assembly, protein folding, protein refolding, response to stress, telomere maintenance","cytoplasm, mitochondrion","ATPase activity, coupled, unfolded protein binding",HSC82,sce:YMR186W,HSC82_YEAST,S000004798,855224
YMR255W,"GFD1, S000004868",,mRNA export from nucleus,"cytoplasm, nuclear pore",molecular_function,GFD1,sce:YMR255W,GFD1_YEAST,S000004868,855297
YMR291W,S000004905,,biological_process,"cytoplasm, nucleus",protein kinase activity,TDA1,sce:YMR291W,TDA1_YEAST,S000004905,855336
YMR300C,"ADE4, S000004915, phosphoribosylpyrophosphate amidotransferase",phosphoribosylpyrophosphate amidotransferase,"'de novo' IMP biosynthetic process, purine base metabolic process, purine nucleotide biosynthetic process",cytoplasm,amidophosphoribosyltransferase activity,PUR1,sce:YMR300C,PUR1_YEAST,S000004915,855346
YMR309C,"NIP1, S000004926, translation initiation factor eIF3 subunit",translation initiation factor eIF3 subunit,translational initiation,"cytoplasm, eukaryotic translation initiation factor 3 complex, multi-eIF complex",translation initiation factor activity,EIF3C,sce:YMR309C,EIF3C_YEAST,S000004926,855357
YMR311C,"GLC8, S000004928, protein phosphatase 1 (Glc7p) regulator",protein phosphatase 1 (Glc7p) regulator,"chromosome segregation, glycogen biosynthetic process","cytoplasm, nucleus",enzyme activator activity,GLC8,sce:YMR311C,GLC8_YEAST,S000004928,855359
YNL036W,"NCE103, NCE3, S000004981",,response to oxidative stress,"cytoplasm, nucleus",carbonate dehydratase activity,CAN,sce:YNL036W,CAN_YEAST,S000004981,855692
YNL047C,"LIT1, S000004992, SLM2",,"actin cable formation, actin cytoskeleton organization and biogenesis, establishment and/or maintenance of actin cytoskeleton polarity, regulation of cell growth","TORC 2 complex, plasma membrane",phosphoinositide binding,SLM2,sce:YNL047C,SLM2_YEAST,S000004992,855680
YNL050C,S000004995,,biological_process,cellular_component,molecular_function,YNF0,sce:YNL050C,YNF0_YEAST,S000004995,855677
YNL069C,"RP23, RPL16B, S000005013, ribosomal protein L16B (L21B) (rp23) (YL15)",ribosomal protein L16B (L21B) (rp23) (YL15),,cytosolic large ribosomal subunit (sensu the Eukaryota research community),"RNA binding, structural constituent of ribosome",RL16B,sce:YNL069C,RL16B_YEAST,S000005013,855655
YNL091W,"NST1, S000005035",,response to salt stress,cytoplasm,molecular_function,NST1,sce:YNL091W,NST1_YEAST,S000005035,855633
YNL098C,"CTN5, CYR3, GLC5, RAS2, S000005042, TSL7, small GTP-binding protein",small GTP-binding protein,"Ras protein signal transduction, adenylate cyclase activation, positive regulation of transcription by galactose, pseudohyphal growth, replicative cell aging, sporulation (sensu the Fungi research community)",plasma membrane,GTPase activity,RAS2,sce:YNL098C,RAS2_YEAST,S000005042,855625
YNL113W," RNA polymerases I (A) and III (C) subunit, AC19, RPC19, S000005057","AC19, RNA polymerases I (A) and III (C) subunit","transcription from RNA polymerase I promoter, transcription from RNA polymerase III promoter","DNA-directed RNA polymerase I complex, DNA-directed RNA polymerase III complex",DNA-directed RNA polymerase activity,RPAC2,sce:YNL113W,RPAC2_YEAST,S000005057,855609
YNL116W,"CHF2, DMA2, S000005060",,"establishment of mitotic spindle orientation, mitotic spindle checkpoint, septin ring assembly",cytoplasm,molecular_function,DMA2,sce:YNL116W,DMA2_YEAST,S000005060,855607
YNL117W,"MLS1, S000005061, carbon-catabolite sensitive malate synthase",carbon-catabolite sensitive malate synthase,glyoxylate cycle,"cytoplasm, peroxisomal matrix",malate synthase activity,MASY,sce:YNL117W,MASY_YEAST,S000005061,855606
YNL135C,"FKB1, FKBP12, FPR1, RBP1, S000005079",FKBP12,"establishment and/or maintenance of chromatin architecture, homoserine metabolic process","cytoplasm, mitochondrion, nucleus",peptidyl-prolyl cis-trans isomerase activity,FKBP,sce:YNL135C,FKBP_YEAST,S000005079,855587
YNL145W,"MFA2, S000005089, a-factor mating pheromone precursor",a-factor mating pheromone precursor,pheromone-dependent signal transduction during conjugation with cellular fusion,extracellular region,mating pheromone activity,MFA2,sce:YNL145W,MFA2_YEAST,S000005089,855577
YNL154C,"S000005098, YCK2",,"cell morphogenesis, cytokinesis, endocytosis, protein amino acid phosphorylation, response to glucose stimulus","bud neck, mating projection, plasma membrane",casein kinase I activity,KC12,sce:YNL154C,KC12_YEAST,S000005098,855568
YNL164C,"IBD2, S000005108",,mitotic spindle checkpoint,nucleus,molecular_function,IBD2,sce:YNL164C,IBD2_YEAST,S000005108,855557
YNL167C,"ACR1, S000005111, SKO1",,negative regulation of transcription from RNA polymerase II promoter,"cytosol, nucleus",RNA polymerase II transcription factor activity,SKO1,sce:YNL167C,SKO1_YEAST,S000005111,855554
YNL189W,"KAP60, S000005133, SCM1, SRP1, karyopherin alpha",karyopherin alpha,nucleocytoplasmic transport,"cytoplasm, nucleus",protein carrier activity,IMA1,sce:YNL189W,IMA1_YEAST,S000005133,855532
YNL199C,"GCR2, S000005143, transcription factor",transcription factor,"positive regulation of glycolysis, positive regulation of transcription from RNA polymerase II promoter",nucleus,transcriptional activator activity,GCR2,sce:YNL199C,GCR2_YEAST,S000005143,855522
YNL214W,"PAS9, PEX17, S000005158, peroxin",peroxin,peroxisome organization and biogenesis,peroxisomal membrane,protein binding,PEX17,sce:YNL214W,PEX17_YEAST,S000005158,855507
YNL216W,"GRF1, RAP1, S000005160, TBA1, TUF1, repressor activator protein",repressor activator protein,"chromatin silencing, chromatin silencing at telomere, protection from non-homologous end joining at telomere, telomere maintenance via telomerase, transcription from RNA polymerase III promoter","nuclear telomere cap complex, nuclear telomeric heterochromatin, nucleus","DNA binding, transcription factor activity",RAP1,sce:YNL216W,RAP1_YEAST,S000005160,855505
YNL236W,"BEL2, GAL22, MED16, RNA polymerase II holoenzyme/mediator subunit, RYE1, S000005180, SDI3, SIN4, SSF5, SSN4, TSF3",RNA polymerase II holoenzyme/mediator subunit,transcription from RNA polymerase II promoter,mediator complex,RNA polymerase II transcription mediator activity,MED16,sce:YNL236W,MED16_YEAST,S000005180,855485
YNL301C,"RP28B, RPL18B, S000005245, ribosomal protein L18B (rp28B)",ribosomal protein L18B (rp28B),,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL18A,sce:YNL301C,RL18A_YEAST,S000005480,854029
YNL301C,"RP28B, RPL18B, S000005245, ribosomal protein L18B (rp28B)",ribosomal protein L18B (rp28B),,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL18A,sce:YNL301C,RL18A_YEAST,S000005480,855415
YNL301C,"RP28B, RPL18B, S000005245, ribosomal protein L18B (rp28B)",ribosomal protein L18B (rp28B),,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL18B,sce:YNL301C,RL18B_YEAST,S000005245,854029
YNL301C,"RP28B, RPL18B, S000005245, ribosomal protein L18B (rp28B)",ribosomal protein L18B (rp28B),,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL18B,sce:YNL301C,RL18B_YEAST,S000005245,855415
YNL307C,"43.1 kDa serine/threonine/tyrosine protein kinase, MCK1, S000005251, YPK1",43.1 kDa serine/threonine/tyrosine protein kinase,"double-strand break repair via nonhomologous end joining, meiosis, mitotic sister chromatid segregation, protein amino acid phosphorylation, response to stress, sporulation (sensu the Fungi research community)",soluble fraction,"glycogen synthase kinase 3 activity, protein threonine/tyrosine kinase activity",MCK1,sce:YNL307C,MCK1_YEAST,S000005251,855409
YNL311C,"F-box protein, S000005255",F-box protein,ubiquitin-dependent protein catabolic process,ubiquitin ligase complex,protein binding,SKP2,sce:YNL311C,SKP2_YEAST,S000005255,855405
YNL312W,"BUF1, RFA2, RPA2, S000005256, replication factor RF-A subunit 2",replication factor RF-A subunit 2,"DNA recombination, DNA replication, synthesis of RNA primer, DNA strand elongation during DNA replication, DNA unwinding during replication, double-strand break repair via homologous recombination, nucleotide-excision repair, postreplication repair","DNA replication factor A complex, chromosome, telomeric region",DNA binding,RFA2,sce:YNL312W,RFA2_YEAST,S000005256,855404
YNR007C,"APG3, ATG3, AUT1, S000005290",,"C-terminal protein lipidation, autophagy, protein targeting to vacuole",cytoplasm,APG8 conjugating enzyme activity,ATG3,sce:YNR007C,ATG3_YEAST,S000005290,855741
YNR050C,"LYS13, LYS9, S000005333",,lysine biosynthetic process via aminoadipic acid,cytoplasm,"saccharopine dehydrogenase (NADP+, L-glutamate-forming) activity",LYS9,sce:YNR050C,LYS9_YEAST,S000005333,855786
YNR053C,"NOG2, S000005336, part of a pre-60S complex",part of a pre-60S complex,"ribosomal large subunit export from nucleus, ribosome assembly","nucleolus, nucleoplasm, nucleus",GTPase activity,NOG2,sce:YNR053C,NOG2_YEAST,S000005336,855789
YOL016C,"CMK2, S000005376, calmodulin-dependent protein kinase",calmodulin-dependent protein kinase,"protein amino acid phosphorylation, signal transduction",cytoplasm,calcium- and calmodulin-dependent protein kinase activity,KCC2,sce:YOL016C,KCC2_YEAST,S000005376,854144
YOL051W,"positive and negative transcriptional regulator of genes involved in mating-type specialization, ABE1, GAL11, MED15, RAR3, RNA polymerase II holoenzyme complex component, S000005411, SDS4, SPT13","RNA polymerase II holoenzyme complex component, positive and negative transcriptional regulator of genes involved in mating-type specialization","telomere maintenance, transcription from RNA polymerase II promoter",mediator complex,RNA polymerase II transcription mediator activity,MED15,sce:YOL051W,MED15_YEAST,S000005411,854106
YOL058W,"ARG1, ARG10, S000005419, arginosuccinate synthetase",arginosuccinate synthetase,"arginine biosynthetic process, argininosuccinate metabolic process, citrulline metabolic process",cytosol,argininosuccinate synthase activity,ASSY,sce:YOL058W,ASSY_YEAST,S000005419,854096
YOL059W,"GPD2, GPD3, S000005420, glycerol-3-phosphate dehydrogenase (NAD+)",glycerol-3-phosphate dehydrogenase (NAD+),"NADH oxidation, glycerol metabolic process","cytosol, mitochondrion",glycerol-3-phosphate dehydrogenase (NAD+) activity,GPD2,sce:YOL059W,GPD2_YEAST,S000005420,854095
YOL086C,"ADC1, ADH1, S000005446, alcohol dehydrogenase",alcohol dehydrogenase,"NADH oxidation, ethanol biosynthetic process during fermentation, fermentation",cytosol,alcohol dehydrogenase activity,ADH1,sce:YOL086C,ADH1_YEAST,S000005446,854068
YOL120C,"RP28A, RPL18A, S000005480, ribosomal protein L18A (rp28A)",ribosomal protein L18A (rp28A),,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL18A,sce:YOL120C,RL18A_YEAST,S000005480,854029
YOL120C,"RP28A, RPL18A, S000005480, ribosomal protein L18A (rp28A)",ribosomal protein L18A (rp28A),,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL18A,sce:YOL120C,RL18A_YEAST,S000005480,855415
YOL120C,"RP28A, RPL18A, S000005480, ribosomal protein L18A (rp28A)",ribosomal protein L18A (rp28A),,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL18B,sce:YOL120C,RL18B_YEAST,S000005245,854029
YOL120C,"RP28A, RPL18A, S000005480, ribosomal protein L18A (rp28A)",ribosomal protein L18A (rp28A),,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL18B,sce:YOL120C,RL18B_YEAST,S000005245,855415
YOL123W,"HRP1, NAB4, NAB5, S000005483, cleavage and polyadenylation factor CF I component involved in pre-mRNA 3'-end processing",cleavage and polyadenylation factor CF I component involved in pre-mRNA 3'-end processing,"mRNA cleavage, mRNA polyadenylation","cytoplasm, mRNA cleavage factor complex, nucleus",RNA binding,HRP1,sce:YOL123W,HRP1_YEAST,S000005483,853997
YOL127W,"RPL25, S000005487, ribosomal protein L25 (rpl6L) (YL25)",ribosomal protein L25 (rpl6L) (YL25),ribosomal large subunit assembly and maintenance,cytosolic large ribosomal subunit (sensu the Eukaryota research community),"RNA binding, structural constituent of ribosome",RL25,sce:YOL127W,RL25_YEAST,S000005487,853993
YOL136C," PFK-2, 6-phosphofructo-2-kinase, PFK27, S000005496","6-phosphofructo-2-kinase, PFK-2","fructose 2,6-bisphosphate metabolic process, regulation of glycolysis",cytoplasm,6-phosphofructo-2-kinase activity,6P22,sce:YOL136C,6P22_YEAST,S000005496,853984
YOL149W,"DCP1, S000005509",,"deadenylation-dependent decapping, mRNA catabolic process",cytoplasmic mRNA processing body,"enzyme activator activity, m7G(5')pppN diphosphatase activity, mRNA binding",DCP1,sce:YOL149W,DCP1_YEAST,S000005509,854016
YOL156W,"HXT11, LGT3, S000005516, glucose permease",glucose permease,hexose transport,plasma membrane,"fructose transporter activity, galactose transporter activity, glucose transporter activity, mannose transporter activity",HXT11,sce:YOL156W,HXT11_YEAST,S000005516,854009
YOR036W,"PEP12, S000005562, VPL6, VPS6, VPT13, c-terminal TMD",c-terminal TMD,Golgi to vacuole transport,"Golgi apparatus, endosome",t-SNARE activity,PEP12,sce:YOR036W,PEP12_YEAST,S000005562,854201
YOR039W,"beta' subunit, CKB2, S000005565, protein kinase CK2","protein kinase CK2, beta' subunit","G1/S transition of mitotic cell cycle, G2/M transition of mitotic cell cycle, cell ion homeostasis, establishment of cell polarity (sensu the Fungi research community), flocculation via cell wall protein-carbohydrate interaction, protein amino acid phosphorylation, regulation of transcription from RNA polymerase I promoter, regulation of transcription from RNA polymerase III promoter, response to DNA damage stimulus",protein kinase CK2 complex,protein kinase CK2 regulator activity,CSK2C,sce:YOR039W,CSK2C_YEAST,S000005565,854204
YOR089C,"S000005615, VPS12, VPS21, VPT12, YPT21, YPT51, small GTP-binding protein",small GTP-binding protein,"endocytosis, protein targeting to vacuole","late endosome, mitochondrial outer membrane, mitochondrion",GTPase activity,VPS21,sce:YOR089C,VPS21_YEAST,S000005615,854256
YOR120W,"GCY, GCY1, S000005646",,"D-xylose catabolic process, arabinose catabolic process, response to salt stress","cytoplasm, nucleus",aldo-keto reductase activity,GCY1,sce:YOR120W,GCY1_YEAST,S000005646,854287
